ID Tema,Nome Tema,Link Tema,ID Serviço,Nome Serviço,Link Serviço
612,Animais,https://sp156.prefeitura.sp.gov.br/portal/tipos-servicos?tema=612,809,Denunciar condições inadequadas de criação,https://sp156.prefeitura.sp.gov.br/portal/servicos/informacao?servico=809
,,,3676,Adotar cães e gatos,https://sp156.prefeitura.sp.gov.br/portal/servicos/informacao?servico=3676
,,,4010,Registro Geral do Animal (RGA) - Solicitar identidade do animal,https://sp156.prefeitura.sp.gov.br/portal/servicos/informacao?servico=4010
,,,1075,Solicitar remoção de animal morto em via pública,https://sp156.prefeitura.sp.gov.br/portal/servicos/informacao?servico=1075
,,,808,Avisar sobre animal agressor em vias públicas,https://sp156.prefeitura.sp.gov.br/portal/servicos/informacao?servico=808
,,,3726,Castrar cães e gatos gratuitamente,https://sp156.prefeitura.sp.gov.br/portal/servicos/informacao?servico=3726
,,,4035,Registro Geral do Animal (RGA) - Atualizar dados,https://sp156.prefeitura.sp.gov.br/portal/servicos/informacao?servico=4035
,,,811,Abelhas e Vespas - Solicitar vistoria em ninhos,https://sp156.prefeitura.sp.gov.br/portal/servicos/informacao?servico=811
622,Animais que transmitem doenças ou risco à saúde,https://sp156.prefeitura.sp.gov.br/portal/tipos-servicos?tema=622,,,
623,Animais silvestres,https://sp156.prefeitura.sp.gov.br/portal/tipos-servicos?tema=623,,,
625,Guarda Civil Metropolitana,https://sp156.prefeitura.sp.gov.br/portal/tipos-servicos?tema=625,,,
626,Poluição Sonora - PSIU,https://sp156.prefeitura.sp.gov.br/portal/tipos-servicos?tema=626,,,
621,Animais que podem causar doenças e/ou agravos à saúde,https://sp156.prefeitura.sp.gov.br/portal/tipos-servicos?tema=621,,,
630,Bolsa Trabalho - BT,https://sp156.prefeitura.sp.gov.br/portal/tipos-servicos?tema=630,,,
628,Bolsa Trabalho - Projeto Bolsa Cursinho,https://sp156.prefeitura.sp.gov.br/portal/tipos-servicos?tema=628,,,
629,Bolsa Trabalho - Juventude Viva,https://sp156.prefeitura.sp.gov.br/portal/tipos-servicos?tema=629,,,
624,Segurança urbana,https://sp156.prefeitura.sp.gov.br/portal/tipos-servicos?tema=624,3559,Alistamento no Serviço Militar - Fora do Prazo,https://sp156.prefeitura.sp.gov.br/portal/servicos/informacao?servico=3559
,,,3916,Certificado de Dispensa de Incorporação (CDI) - 1ª via,https://sp156.prefeitura.sp.gov.br/portal/servicos/informacao?servico=3916
,,,3550,Certificado de Dispensa de Incorporação (CDI) - 2ª via,https://sp156.prefeitura.sp.gov.br/portal/servicos/informacao?servico=3550
,,,3553,Certificado de Reservista - 2ª via,https://sp156.prefeitura.sp.gov.br/portal/servicos/informacao?servico=3553
,,,821,Guarda Civil Metropolitana (GCM) - Fazer sugestão,https://sp156.prefeitura.sp.gov.br/portal/servicos/informacao?servico=821
,,,959,Guarda Civil Metropolitana - Avisar emergência,https://sp156.prefeitura.sp.gov.br/portal/servicos/informacao?conteudo=959
,,,3717,Solicitar mediação de conflitos – Guarda Civil Metropolitana,https://sp156.prefeitura.sp.gov.br/portal/servicos/informacao?servico=3717
,,,819,Solicitação de policiamento,https://sp156.prefeitura.sp.gov.br/portal/servicos/informacao?servico=819
627,Trabalho,https://sp156.prefeitura.sp.gov.br/portal/tipos-servicos?tema=627,962,"Bolsa Trabalho - Luz, Câmera, Ação Social! - Fazer inscrição",https://sp156.prefeitura.sp.gov.br/portal/servicos/informacao?conteudo=962
,,,983,Emitir Carteira de Trabalho e Previdência Social (CTPS),https://sp156.prefeitura.sp.gov.br/portal/servicos/informacao?conteudo=983
,,,977,MEI - Consultar e emitir documentos,https://sp156.prefeitura.sp.gov.br/portal/servicos/informacao?conteudo=977
,,,976,MEI - Fazer declaração Anual de Rendimentos,https://sp156.prefeitura.sp.gov.br/portal/servicos/informacao?conteudo=976
,,,975,MEI - Fazer inscrição (formalização),https://sp156.prefeitura.sp.gov.br/portal/servicos/informacao?conteudo=975
,,,978,MEI - Solicitar cancelamento (baixa),https://sp156.prefeitura.sp.gov.br/portal/servicos/informacao?conteudo=978
,,,3614,Programa Mãos e Mentes Paulistanas - Solicitar credenciamento,https://sp156.prefeitura.sp.gov.br/portal/servicos/informacao?servico=3614
,,,4085,Programa Operação Trabalho - Fazer Cadastro,https://sp156.prefeitura.sp.gov.br/portal/servicos/informacao?servico=4085
632,Programa Operação Trabalho - Vivência Prática em Gestão de Documentos,https://sp156.prefeitura.sp.gov.br/portal/tipos-servicos?tema=632,,,
635,Programa Operação Trabalho - Hortas e Viveiros,https://sp156.prefeitura.sp.gov.br/portal/tipos-servicos?tema=635,,,
636,Programa Operação Trabalho - Praças Mais Cuidadas,https://sp156.prefeitura.sp.gov.br/portal/tipos-servicos?tema=636,,,
640,Programa Operação Trabalho - Construindo Uma Morada para o Futuro,https://sp156.prefeitura.sp.gov.br/portal/tipos-servicos?tema=640,,,
633,Programa Operação Trabalho - Transcidadania,https://sp156.prefeitura.sp.gov.br/portal/tipos-servicos?tema=633,,,
631,Programa Operação Trabalho - POT nas Subprefeituras,https://sp156.prefeitura.sp.gov.br/portal/tipos-servicos?tema=631,,,
638,Bolsas e Programas de Qualificação,https://sp156.prefeitura.sp.gov.br/portal/tipos-servicos?tema=638,,,
639,Programa Operação Trabalho - Zeladores Comunitários,https://sp156.prefeitura.sp.gov.br/portal/tipos-servicos?tema=639,,,
634,Programa Operação Trabalho - Telecentros Comunitários,https://sp156.prefeitura.sp.gov.br/portal/tipos-servicos?tema=634,,,
637,Programa Operação Trabalho - Jovem SUS,https://sp156.prefeitura.sp.gov.br/portal/tipos-servicos?tema=637,,,
650,Centro de Referência em Segurança Alimentar a Nutricional - CRESAN Vila Maria,https://sp156.prefeitura.sp.gov.br/portal/tipos-servicos?tema=650,,,
647,Feira Livre,https://sp156.prefeitura.sp.gov.br/portal/tipos-servicos?tema=647,,,
644,Incubadora Pública de Empreedimentos Econômicos Solidários,https://sp156.prefeitura.sp.gov.br/portal/tipos-servicos?tema=644,,,
641,PRONATEC,https://sp156.prefeitura.sp.gov.br/portal/tipos-servicos?tema=641,,,
645,Empreendedorismo,https://sp156.prefeitura.sp.gov.br/portal/tipos-servicos?tema=645,,,
648,Assistência Técnica e Extensão Rural,https://sp156.prefeitura.sp.gov.br/portal/tipos-servicos?tema=648,,,
649,Segurança alimentar e nutricional,https://sp156.prefeitura.sp.gov.br/portal/tipos-servicos?tema=649,,,
642,Microempreendedor Individual - MEI,https://sp156.prefeitura.sp.gov.br/portal/tipos-servicos?tema=642,,,
646,Mercados e sacolões,https://sp156.prefeitura.sp.gov.br/portal/tipos-servicos?tema=646,,,
643,Centro de Apoio ao Trabalho e Empreendedorismo - CATe,https://sp156.prefeitura.sp.gov.br/portal/tipos-servicos?tema=643,,,
658,Heliponto / Heliporto,https://sp156.prefeitura.sp.gov.br/portal/tipos-servicos?tema=658,,,
656,Segurança de edificação,https://sp156.prefeitura.sp.gov.br/portal/tipos-servicos?tema=656,,,
653,Qualificação profissional,https://sp156.prefeitura.sp.gov.br/portal/tipos-servicos?tema=653,,,
659,Documentações e alvarás para obras,https://sp156.prefeitura.sp.gov.br/portal/tipos-servicos?tema=659,,,
651,Centro de Referência em Segurança Alimentar a Nutricional - CRESAN Butantã,https://sp156.prefeitura.sp.gov.br/portal/tipos-servicos?tema=651,,,
